댓글 작성자,댓글 내용,댓글 작성 시간
가온,알라후 아크바르,2024-09-30 15:27:18
주니,"이스라엘은 이란이랑 싸우고 싶어하는데 이란은 "" 확 진짜 "" 이게 끝ㅋㅋㅋㅋ 이란도 잘 알지! 이스라엘한테 선제공격하면 ㅈ 된다는 걸",2024-09-30 15:27:19
GPTV,자잘한 전쟁이 많이 있어야 3차 대전이 안일어나는 거야,2024-09-30 15:27:19
의자황,북한은 자기들이 교과서에서 욕하는 미국이 어느정도 무서운 나라인지를 이젠 알것임,2024-09-30 15:27:20
Chang Hug,free palestin,2024-09-30 15:27:22
그냥,이스라엘은 일본 제국주의 보다 더 심하고 잔인한 국가,2024-09-30 15:27:22
몽구스,헤즈볼라 수장 나 시켜줘 내가 잘할께!,2024-09-30 15:27:23
Beksiński,일주일만 폭격하면 헤즈볼라 해체지 뭐,2024-09-30 15:27:26
최 쫙대기,생각이 있으면 현 인류가 지구상에 80억 이라는데 유대인 몇백만명 만이 하나님의 백성 이것냐 예수는 하나님의 독생자로 왔어도 유대인들이 앞장서서 십자가에 못 박 았는데:smiling_face_with_sunglasses:,2024-09-30 15:27:29
rtlkfcb,도덕은 루저들이 정신승리하기 위해 만들어낸 소설임,2024-09-30 15:27:30
도야,"오직 파괴만이 진심인 해즈볼라 꼭 좌빨 움제인, 조국 이재명 같습니다.",2024-09-30 15:27:31
세레비,하나님은 결국 이스라엘이 승리하도록 도우심,2024-09-30 15:27:32
M-J,"헤즈볼라 보니""까 개 허접이던데",2024-09-30 15:27:32
성수,후티 깜죽되드니 한방터저맞았네,2024-09-30 15:27:36
Beksiński,이스라엘이 계산 안했겠냐?,2024-09-30 15:27:38
ITC,이란은 이스라엘이 무기수급 끊어질때까지 지켜보는중....,2024-09-30 15:27:40
GPTV,중동전쟁이 3차대전 대리 전쟁임,2024-09-30 15:27:40
"이준석 띄우기, 명태균 작품",":face-blue-smiling:주한미국대사, 차기 대통령 이재명 접견",2024-09-30 15:27:40
세레비,하나님을 이기려는 자들은 결국 다 죽을거다,2024-09-30 15:27:45
POP Plus,이쯤되면 '외계인'과 힘없는 '중동 지구인'들의 싸움 같다 ,2024-09-30 15:27:45
"Yo, come on, baby",3차대전은 다 죽는거야 ㅋㅋㅋㅋ뭘 좀 알고 말을 해라 ㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:27:49
내맘이야,미국의교훈 반미하면 죽는다 복수복수 알복수,2024-09-30 15:27:50
Cheong NoluGwi,f 35 =이란산 로켓,2024-09-30 15:27:52
rtlkfcb,도덕 운운하는 애들은 루저로서 정신승리하려는 것 뿐임,2024-09-30 15:27:52
의자황,미제압잡이라고 욕하는 세계에서 유일한 나라 북한..미국이 어느정도 무서운 나라인걸 이제 알것임,2024-09-30 15:27:52
Chang Hug,free palestin,2024-09-30 15:27:53
Beksiński,이 참에 국제적인 비난 받을 때 긑장내겠지,2024-09-30 15:27:54
matthew,"사냥개가 죽어도 관심없는 이란을 위해 싸우지말고, 헤즈볼라 해체하고 행복한 삶을 살아라",2024-09-30 15:27:54
가온,알라후 아크바르,2024-09-30 15:27:55
아오,딱 3일 본다 알라곁으로 가서 처녀끼고 행복해,2024-09-30 15:27:57
김철식,악의축 이스라엘,2024-09-30 15:27:58
plin,미쳤나 평균적인 사람들 다 도덕 지키면서 산다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:27:59
"이준석 띄우기, 명태균 작품",":face-blue-smiling:주한미국대사, 차기 대통령 이재명 접견",2024-09-30 15:27:59
MS K,말로만 ㅋㅋㅋ,2024-09-30 15:28:00
GPTV,이재명은 피 선거권 조차 없다,2024-09-30 15:28:06
소리비,사피에딘도 뒤졌음,2024-09-30 15:28:06
"복덩이, 꽃비",이스라엘이 악의 축이다,2024-09-30 15:28:07
zzangddukee,악은 처음엔 이긴듯하나 나중에는 허물어짐 이스라엘처럼,2024-09-30 15:28:07
백도련,   동맹 든든합니다,2024-09-30 15:28:08
롱만 함,주둥이만 나불나불,2024-09-30 15:28:11
MS K,주댕이만 살았네,2024-09-30 15:28:11
Cheong NoluGwi,무서운 이란산 로켓...기자 진짜..ㅋㅋ,2024-09-30 15:28:13
matthew,헤즈볼라 해체하라,2024-09-30 15:28:14
rtlkfcb,악의 축같은 소리 하네 ㅋㅋㅋ ,2024-09-30 15:28:15
woo y,이스라엘 공군입장에서는 헤즈볼라는 타켓일뿐..,2024-09-30 15:28:16
머시다냐,작품아 허위 유포 하지 마라 ,2024-09-30 15:28:16
그냥,한 손에 이스라엘 국기 한 손에 태극기들고,2024-09-30 15:28:16
마이크K플린,앗살라말라꿈,2024-09-30 15:28:18
MS K,선빵좀 날리자,2024-09-30 15:28:19
M-J,민간인 생각 안하고 2차대전식으로 하면 헤즈볼라 다 밀어 버리는건 쉬운데,2024-09-30 15:28:19
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:28:19
삼동이,푸틴도 그럼 찌질이처럼 도덕운운안하고 우크라에 핵 수백발 쏴도됨? 말같은소릴해야지 영화 그만봐라 병원 꼭 가보고,2024-09-30 15:28:20
matthew,후티반군 해체하라,2024-09-30 15:28:22
rtlkfcb,도덕 이ㅈㄹ ㅋㅋㅋ,2024-09-30 15:28:22
주니,     :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,2024-09-30 15:28:23
단테71 ча,헤즈볼라 이란한테 뒷통수 맞았네 ㅋㅋ,2024-09-30 15:28:25
Chang Hug,free palestin,2024-09-30 15:28:26
성수,가장좋아한 나라는 시우디,2024-09-30 15:28:27
리 리,만일 누구든지 짐승 과 그 우상에게 경배하고 그의 이름의 표를 받으면 하나님 과 천사들 앞에서 고난을 받으리니 그 고통의 연기 가 세세토록 하늘로 올라 가리로다 (요한계시록 14장 ),2024-09-30 15:28:28
최 쫙대기,국가간의 전쟁에 무슨 도덕이 있것냐 이기는 넘이 장땡이지,2024-09-30 15:28:31
박성춘,:face-orange-frowning::face-orange-frowning::face-orange-frowning::face-orange-frowning:입 쳐다물어...댓글보니 수준있는 사람 없다~~입다물어~~:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,2024-09-30 15:28:33
아스타나,닥치고 이기는 쪽이 선이다,2024-09-30 15:28:34
세레비,하나님 하나님 이스라엘을 지켜주소서,2024-09-30 15:28:36
내맘이야,반미국가 북한 이란 중국 결과는죽음뿐,2024-09-30 15:28:39
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:28:39
일신우일신,백도련 우리 이스라엘이랑 동맹맺은적 없음,2024-09-30 15:28:41
세레비,하나님 이스라엘을 지켜주소서,2024-09-30 15:28:42
의자황,여기서 이스라엘 욕하는 늠들은 사랙색희들이 아님,2024-09-30 15:28:43
현,국가안보와 평하는 국력의힘이다는걸 이스라엘이 우리에게 시사하는 점이크다,2024-09-30 15:28:46
Fendiman PUBG,fdk,2024-09-30 15:28:48
Beksiński,그치 사우디는 지금 웃음 참기 힘들듯,2024-09-30 15:28:50
matthew,이란은 항복하라,2024-09-30 15:28:50
Fendiman PUBG,안타깝다,2024-09-30 15:28:51
빠니보틀,전쟝은 이스라엘처럼 ,2024-09-30 15:28:52
주먹고구마,그럼 순천에서 칼로 고딩 수신 놈도 정의?,2024-09-30 15:28:53
순풍,이미 3차는시작햇다 다들 지금을즐기라,2024-09-30 15:28:54
그냥,한손에 태극기 한 손에 이스라엘 국기 들고,2024-09-30 15:28:54
세레비,하나님 우리들의 하나님은 이스라엘을 지켜주소서,2024-09-30 15:28:54
설경철 주산TV,어떤 이유에서라도 인명살상은 인과응보로 돌아오는법.. 전쟁 NO,2024-09-30 15:28:57
뱅뱅사거리,후티나대다 자멸하겟네,2024-09-30 15:28:57
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:28:58
rtlkfcb,인생이 얼마나 시궁창이면 이 상황에서 이스라엘 욕할까 싶음,2024-09-30 15:29:00
M-J,악의축- 러시아 북한 차이나 이란 후티,2024-09-30 15:29:02
아니아니,후티 대변인좀 잡아라 ,2024-09-30 15:29:02
세모네모연구소,이스라엘 화이팅,2024-09-30 15:29:02
Rick Kwon,육적 이스라엘 파이팅,2024-09-30 15:29:02
Chang Hug,free palestin,2024-09-30 15:29:03
세모네모연구소,만세,2024-09-30 15:29:03
주먹고구마,이기는 놈이 정의노?,2024-09-30 15:29:03
세모네모연구소,만세,2024-09-30 15:29:04
plin,ㅋㅋㅋㅋㅋ 도덕 같다가 10분동안 혼자 열불낸것만 봐도 찐따티 확남 ㅋㅋㅋㅋㅋㅋㅋ 지가 존나 치명적인줄 아나봐 ㅋㅋㅋㅋㅋ,2024-09-30 15:29:10
idbms M,God bless Israel :folded_hands::folded_hands::folded_hands::folded_hands:,2024-09-30 15:29:11
가온,마영삼,2024-09-30 15:29:11
세레비,하나님 신성한 예루살렘 지키는 이스라엘한테 힘을 주소서,2024-09-30 15:29:11
몽구스,ㅇㅇ,2024-09-30 15:29:12
주먹고구마,머리 이쁘노,2024-09-30 15:29:14
Life,전쟁에서 도덕 찾네 ㅋㅋㅋㅋ,2024-09-30 15:29:14
rtlkfcb,루저인지 아닌지 한번에 알아보는 법 = 이스라엘 욕하면 인생이 진짜 처참하다는 뜻임. ,2024-09-30 15:29:17
아스타나,중국이 이란 도와주면 중국이 다음 타겟,2024-09-30 15:29:18
몽구스,힘이 정의다 ㅠㅠ,2024-09-30 15:29:18
주먹고구마,할배 머리 이쁘노,2024-09-30 15:29:19
SangIn Nam,뭔 구심점을 찾냐? 테러리스트 집단들은 이참에 걍 붕괴 해체되거라,2024-09-30 15:29:20
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:29:22
"Yo, come on, baby",순풍아 집에가서 엄마 홍수 터졌다 밑에나 딱아 줘라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:29:24
빠니보틀,전쟁은 이스라엘 처럼 해야한다 ,2024-09-30 15:29:27
Beksiński,후티가 깔작깔짝 까불다가 터지니 사우디는 좋지 뭐 손에 물 한방울 안묻히고,2024-09-30 15:29:27
세모네모연구소,이스라엘이 이겨야 윤석열 처단할수있다,2024-09-30 15:29:28
세레비,하나님의 충실한종 이스라엘이 승리하도록 도우소서,2024-09-30 15:29:29
zzangddukee,나쁜놈들이니 이스라엘 욕하지,2024-09-30 15:29:29
Chang Hug,free palestin,2024-09-30 15:29:31
유재민,그만 어 어 어 거려,2024-09-30 15:29:34
주먹고구마,이 할배 패션 감각 좋노,2024-09-30 15:29:35
세레비,하나님이 이스라엘을 지켜주소서,2024-09-30 15:29:37
mifa soul,웃긴게 우리나라 기자 중 현장엔 1명도 없다는 것. ㅎㅎㅎ 그냥 뉴스되새김질,2024-09-30 15:29:38
ㅇㅈ,후티군이 사용하는 발전소도 박살나서.. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 거기는 구명지대,2024-09-30 15:29:38
지웅쓰,어 어 ,2024-09-30 15:29:42
주니,사우디도 이스라엘이랑 친해지고 싶은데ㅋㅋㅋㅋㅋㅋ 다른 중동들 눈치 봐서 싫어척만 하는중,2024-09-30 15:29:43
세모네모연구소,이스라엘은 윤석열 시러한다,2024-09-30 15:29:43
rtlkfcb,전쟁에서 도덕찾는다는 건 의지할게 자신의 자의적인 도덕관념 밖에 없다는 거. 정신승리의 표본이다.,2024-09-30 15:29:44
세레비,하나님 오 하나님 ,2024-09-30 15:29:45
준,핵 쏴라 핵 쏴,2024-09-30 15:29:45
side planet,후티 초토화 되서 랩하는 형님 또 볼수 있겠네요 ,2024-09-30 15:29:45
지웅쓰,어 일단 어,2024-09-30 15:29:46
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:29:47
plin,어 유재민 어 어 ,2024-09-30 15:29:47
박성춘,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:지금 중동국가는 아작난다~~!!!:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,2024-09-30 15:29:47
세레비,하나님,2024-09-30 15:29:47
rtlkfcb,도덕=정신승리,2024-09-30 15:29:50
정상호,전쟁의 모델이다,2024-09-30 15:29:51
가온,알라후 아크바르,2024-09-30 15:29:52
세레비,하나님,2024-09-30 15:29:52
"Yo, come on, baby",순풍이 ㅋㅋ부들부들 ㅋ오열 하네 ㅋㅋㅋㅋㅋ뭣도 모르는게 아는척은 ㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:29:53
세레비,하나님,2024-09-30 15:29:56
Joe,저렇게 사악하게 발악할수록 미국이스라엘의 멸망은 가까워진가.,2024-09-30 15:29:57
KJ,전쟁은 곧 사람을 죽이는건데 잘한다고 칭찬하는 놈들이 많네,2024-09-30 15:29:58
Invictus Rome,해외직구의 적 후티에게 죽음을!,2024-09-30 15:29:58
지웅쓰,어 여기에대해서 어 과감하게 어 전쟁의 원칙 어,2024-09-30 15:29:59
깡통신화,조만간 중국이 대만 침공하겠네,2024-09-30 15:29:59
내맘이야,예루살렘이 대단합니다 십자군전쟁200년하고,2024-09-30 15:30:00
M-J,후티 대변인은 스카웃 하자,2024-09-30 15:30:01
엽이와 함께,왜 까불어? 당하잖아. 남한도 저런 근성이 있어야 되는데.,2024-09-30 15:30:01
"복덩이, 꽃비",이스라엘은 악의 축,2024-09-30 15:30:02
세레비,하나님 이스라엘 ,2024-09-30 15:30:02
boyboyoung,"하마스의 뻘짓이 헤즈볼라, 후티, 이란까지 작살날 지경 ㅋㅋㅋ:grinning_squinting_face:",2024-09-30 15:30:05
Life,상대에게 공격한다 피해라 도덕적으로?,2024-09-30 15:30:06
CP C,역시 이스라엘 최고다,2024-09-30 15:30:06
jujuka,어를 몇번 하냐,2024-09-30 15:30:07
주먹고구마,인도는 합류안함?,2024-09-30 15:30:07
세레비,하나님 성스러운 이스라엘,2024-09-30 15:30:07
plin,유씨 어디 유씨임?,2024-09-30 15:30:08
rtlkfcb,여기서 악이네 뭐니 하는 애들은 그냥 ㅈ정신승리의 화신,2024-09-30 15:30:09
Chang Hug,free palestin,2024-09-30 15:30:09
순풍,콤온아 잘새겨들어라잉 니까지건 없어지는거에 0.1초도아꿉다 ㅋㅋ,2024-09-30 15:30:12
세레비,하나님 성스러운 이스라엘,2024-09-30 15:30:12
백도련,   동맹 든든합니다,2024-09-30 15:30:13
side planet,주거용 아파트 공격했는데 대원들 시체가 왜 나와?,2024-09-30 15:30:14
주먹고구마,인도인도 인도 사이다,2024-09-30 15:30:16
Beksiński,박현도 헛소리하던 인간은 무슨 소리할까?,2024-09-30 15:30:18
GPTV,"4대 악의축: 북한, 이란, 아프간, 민주당",2024-09-30 15:30:18
M-J,후티 대변인 미국가면 아티스트다,2024-09-30 15:30:19
세레비,하나님 ,2024-09-30 15:30:20
세레비,하나님,2024-09-30 15:30:22
세레비,하나님,2024-09-30 15:30:24
Invictus Rome,해외직구를 방해하는 후티에게 징벌을!,2024-09-30 15:30:25
"Yo, come on, baby",순풍이 ㅋㅋ 엄마 밑에 홍수 터졌다 ㅋㅋㅋ그거부터 해결해라 ㅋㅋㅋㅋ푸하하하 ㅋ,2024-09-30 15:30:27
세레비,하나님,2024-09-30 15:30:29
세레비,하나님,2024-09-30 15:30:31
Joe,발악할수록 미국이스라엘 멸망은 빨리 다가옴.,2024-09-30 15:30:34
JYC,알라후 앜바르,2024-09-30 15:30:35
mifa soul,서울 대만 거리 날아가서 후티반군 작살냄.,2024-09-30 15:30:36
세레비,하나님,2024-09-30 15:30:36
주먹고구마,이란 얍삽하게 멀리서 구경만하노,2024-09-30 15:30:41
Rick Kwon,6대1로 싸우는거야 대단하다,2024-09-30 15:30:42
세레비,하나님ㄴ,2024-09-30 15:30:43
idbms M,God bless Israel God bless Israel God bless Israel :blue_heart::folded_hands::blue_heart::folded_hands:,2024-09-30 15:30:43
"복덩이, 꽃비",네타야후는 전쟁을 멈추면 바로 감옥행이라...,2024-09-30 15:30:44
JYC,알라후 앜바르,2024-09-30 15:30:45
세레비,하나님ㄴ,2024-09-30 15:30:46
rtlkfcb,근데 좌파는 이슬람과 왜 그렇게 친근함? 극과 극은 통함?,2024-09-30 15:30:48
세레비,하나님,2024-09-30 15:30:49
mifa soul,사우디가 해변항로 허용함.,2024-09-30 15:30:49
JYC,알라후 앜바르,2024-09-30 15:30:49
성수,1700k날아가 때리네 대단,2024-09-30 15:30:53
세레비,하나님,2024-09-30 15:30:55
"이준석 띄우기, 명태균 작품",":face-blue-smiling:주한미국대사, 차기 대통령 이재명 접견",2024-09-30 15:30:56
JYC,알라후 앜바르,2024-09-30 15:30:56
Life,우리나라는 베트남 파병가서 도덕적으로 학살햇냐,2024-09-30 15:30:58
"Yo, come on, baby",순풍이 쳐 맞고 운다 울아 ㅋㅋㅋㅋㅋㅋㅋ아이고 배야 ㅋㅋㅋ,2024-09-30 15:31:01
Chang Hug,free palestin,2024-09-30 15:31:01
딥슬로,정신병원이 따로없네,2024-09-30 15:31:10
rtlkfcb,한국이 베트남 가서 얼마나 학살 했는지 모르는 사람들 많음,2024-09-30 15:31:14
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:31:16
김영휘,오. 알라신이라,2024-09-30 15:31:18
Beksiński,그치 이스라엘이 후티 때리는거 보면 이란 우줌 지릴듯 ㅋ,2024-09-30 15:31:20
rtlkfcb,쟤네들 기준으로 하면 한국도 그냥 악임,2024-09-30 15:31:22
mifa soul,이란 좀 패줬으면 하는 주변국은 사우디 쿠웨이트 아랍에미레이트는 아주 고소해함.,2024-09-30 15:31:23
주먹고구마,이방은 왜 지할말만 하노,2024-09-30 15:31:24
장민철,근데 서양놈들은 유대교를 왜 그리 경멸하냐.ㅎㅎㅎ,2024-09-30 15:31:24
rtlkfcb,한국인 여권 반납해라,2024-09-30 15:31:29
몽구스,이스라엘이 중동 오야붕임?,2024-09-30 15:31:31
정상호,전쟁은 하나로 되어가는 성장통,2024-09-30 15:31:31
Invictus Rome,해외직구를 방해하는 후티에게 가혹한 죽음과 고통을!,2024-09-30 15:31:33
Life,전쟁에서 도덕 찾는게 웃겨,2024-09-30 15:31:34
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:31:35
u pock,대단하네,2024-09-30 15:31:39
rtlkfcb,한국이 베트남 가서 무슨 짓을 했는지 찾아봐라,2024-09-30 15:31:39
